,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	32	P10000031
0,Cc1c(noc1NS(=O)(=O)c2ccc(cc2)NC(=O)C3=C[C@H]4C=CC=C[C@@H]4OC3=O)C	C00998856	P09404585
1,C[C@H]1C[C@@H](CN(C1)S(=O)(=O)c2ccc(cc2)NC(=O)CCN3C(=O)C4(CCCC4)NC3=O)C	C08728390	P13396199
2,CCN1c2ccccc2[C@]3(C1=O)c4c(cc(n(c4=O)Cc5ccco5)C)OC(=C3C(=O)OC)N	C09189935	P14089050
3,COC(=O)NC(=O)c1c2c(sc1NC(=O)CN3C(=O)c4ccccc4C3=O)CCCC2	C09297923	P14248874
4,Cc1cc2c(cc1C)occ2CC(=O)OCC(=O)NN3C(=O)C4(CCC(CC4)C)NC3=O	C09436554	P14459289
5,c1ccc(cc1)c2csc3c2c(=O)[nH]c(n3)COC(=O)CN4C(=O)C5(CCCC5)NC4=O	C09467654	P14500624
6,CC1(CC2=C([C@H](c3c(=O)[nH]c(=O)n(c3N2)CCOC)c4cc(cc(c4)OC)OC)C(=O)C1)C	C09508484	P14569530
7,COc1cccc(c1O)[C@@H]2CC(=NN2C(=O)c3ccco3)c4ccc(cc4)NS(=O)(=O)C	C09517150	P14584354
8,Cc1nnc(n1N)SCC(=O)N2[C@H]([C@H]3CCC/C(=C\c4ccco4)/C3=N2)c5ccco5	C10213170	P15543128
9,Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)Nc3c(ccs3)C(=O)NC(=O)OC	C11128279	P16638809
10,CCn1c2c(c(nc(n2)c3cccs3)C(=O)N)n(c1=O)CC(=O)N4CCc5c4cccc5	C12236904	P17985562
11,COc1ccc(cc1)N2C3=C([C@H](C(=C2N)C#N)c4cccc(c4)[N+](=O)[O-])S(=O)(=O)CC3	C12420867	P18254610
12,Cc1c2c(oc(c2c(=O)[nH]n1)NC(=O)CSc3nc4c(c5c(s4)CCCC5)c(=O)n3C)C	C13101168	P19400110
13,CCn1c(nnc1SCC(=O)NN2C(=O)C3(CCC(CC3)C)NC2=O)c4cccs4	C13117658	P19542177
14,Cc1cc(no1)N2[C@@H](/C(=C(/c3c(c([nH]c3C)C)C)\O)/C(=O)C2=O)c4ccc(c(c4)OC)OC	C13549642	P20861184
15,CC1CCC2(CC1)C(=O)N(C(=O)N2)NC(=O)CSc3nc4ccccc4c(=O)n3CC=C	C15231144	P23103249
16,COc1cc(ccc1O)[C@@H]2C(=C(c3ccc4c(c3)OCCO4)O)C(=O)C(=O)N2C[C@@H]5CCCO5	C16735135	P25248044
17,COc1cc(cc(c1OC)OC)[C@@H]2CC3=C([C@H](n4c(ncn4)N3)c5cccc(c5)O)C(=O)C2	C18198277	P27207383
18,COc1ccc(cc1O)[C@H]2C3=C(C[C@@H](CC3=O)c4ccc(c(c4)OC)OC)Nc5n2ncn5	C18198431	P27207538
19,CCCCN1C(=O)/C(=C\2/C[C@H](N(N2)C(=O)CC)c3ccc4c(c3)OCO4)/C(=O)NC1=S	C21788747	P32466021
20,c1ccc2c(c1)[C@@]3(CCO2)C(=O)N(C(=O)N3)CC(=O)Nc4ccccc4S(=O)(=O)C(F)F	C22063070	P32824127
21,CSCC[C@H]1[C@@H]2[C@H](C(=O)N(C2=O)c3ccc(cc3)[N+](=O)[O-])[C@]4(N1)c5ccccc5NC4=O	C16009665	P39714761
22,CCC(=O)Nc1nnc(s1)CC(=O)N/N=C/c2cc3c(cc2Br)OCO3	C01958395	P40473498
23,Cc1c(c(n(n1)c2ccccc2)C)NC(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccc(cc4)C#N	C31633520	P46594041
24,COc1cc(cc(c1OC)OC)[C@@H]2c3c(c4ccccc4oc3=O)OC(=C2C(=O)OC)N	C01471630	P49932621
25,CCc1nnc(s1)N2[C@@H](c3c(=O)c4ccccc4oc3C2=O)c5ccc(cc5)OCC(=O)N	C35490798	P52661983
26,C[C@H](C(=O)Nc1cccc2c1cccc2)NC(=O)[C@H]3[C@@H]4[C@@H]([C@@H]5[C@@H](O3)OC(O5)(C)C)OC(O4)(C)C	C36597014	P54393778
27,Cc1c(nsn1)Cn2c(c(nn2)C(=O)Nc3c(c4c(s3)CCCC4)C(=O)NC(C)C)C	C40798301	P61940564
28,C[C@]1(C(=O)Nc2cc(ccc2O1)Cl)C(=O)NC[C@H]3c4ccc(c(c4C(=O)O3)OC)OC	C41548718	P62967222
29,CN(C)C(=O)NC(=O)c1c2c(sc1NC(=O)CN3C(=O)c4ccccc4C3=O)CCC2	C44452720	P67095865
30,COc1ccc(cc1)[C@@H]2CC3=C([C@@H](n4c(ncn4)N3)c5cc(c(c(c5)OC)O)OC)C(=O)C2	C09488019	P75838087
31,CCOc1ccc(cc1)[C@@H]2C/C(=C/3\C(=O)NC(=O)N(C3=O)CCC4=CCCCC4)/NN2C(=O)C	C09129428	P75890265
32,CC1=C2[C@@H](SCC(=O)N[C@@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccc(cc5)OC(C)C	C38581878	P97995926
33,CC1=C2[C@@H](SCC(=O)N[C@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccc(cc5)OCC(C)C	C38586873	P97995996
34,CC1=C2[C@@H](SCC(=O)N[C@@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccccc5OC(C)C	C38598436	P97996965
35,CCC(=O)N1[C@@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)c3ccc(cc3)Cl)/N1)c4ccc(cc4)OC	C64471484	P98977610
36,CCC(=O)N1[C@@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)Cc3ccccc3)/N1)c4ccc(cc4)OCC	C64789296	P99554918
