NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
1,1,0,0,,498.068,,
2,2,0.00639571,0.00639571,28,901,,0.638754
3,2,0.00840335,0.00200763,,452.949,,0.625887
4,3,0.0457531,0.0373497,4,387.987,1,0.612576
5,4,0.0724349,0.0266818,7,413.552,,0.61002
6,5,0.0815403,0.00910541,21,414.027,,0.598106
7,6,0.121009,0.0394686,3,423.952,,0.597559
8,7,0.189652,0.0686433,1,430.235,,0.580706
9,8,0.19804,0.00838803,22,432.621,,0.578502
10,9,0.231566,0.0335255,5,433.698,,0.577692
11,10,0.295409,0.0638431,2,436.645,,0.572012
12,11,0.314796,0.0193874,10,435.505,,0.570661
13,12,0.327518,0.0127218,14,435.141,,0.570061
14,13,0.330695,0.00317696,,435.384,,0.566423
15,14,0.333402,0.00270684,,427.106,,0.565095
16,15,0.337723,0.00432099,,428.017,,0.56226
17,16,0.361983,0.0242602,8,429.482,,0.558093
18,17,0.365253,0.00326954,,424.46,,0.557722
19,18,0.368604,0.00335136,,424.618,,0.556507
20,19,0.386447,0.017843,11,425.757,,0.554659
21,20,0.396966,0.0105191,18,427.958,,0.551868
22,21,0.399314,0.00234819,,428.147,,0.550757
23,22,0.401298,0.00198418,,429.689,,0.550306
24,23,0.429356,0.0280577,6,431.658,,0.550097
25,24,0.43492,0.00556379,,430.284,,0.548773
26,25,0.447751,0.0128313,13,428.902,,0.548573
27,26,0.455376,0.00762521,25,429.866,,0.5474
28,27,0.457799,0.00242286,,429.494,,0.546412
29,28,0.460341,0.00254143,,430.382,,0.545031
30,29,0.472251,0.0119107,16,431.487,,0.544789
31,30,0.475744,0.00349267,,430.995,,0.5417
32,31,0.480508,0.00476441,,427.969,,0.54124
33,32,0.487873,0.00736444,26,428.418,,0.540572
34,33,0.48955,0.00167665,,429.55,,0.537806
35,34,0.49686,0.00731053,27,430.884,,0.537205
36,35,0.516562,0.0197022,9,430.267,,0.537167
37,36,0.528977,0.0124149,15,431.632,,0.53518
38,36,0.530124,0.00114668,,421.83,,0.534674
39,37,0.531922,0.00179805,,423.119,,0.532532
40,38,0.532998,0.00107585,,419.939,,0.53185
41,39,0.538086,0.00508817,,421.627,,0.529523
42,40,0.541328,0.00324257,,421.818,,0.529158
43,41,0.545184,0.00385596,,421.312,,0.524785
